S1A_IW_SLC__1SDV_20180615T100305_20180615T100333_022366_026BEF_8542.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('66433654-bcaa-4579-b698-d936ef16a4ea')/$value,69,POLYGON ((118.086266 32.318176,120.764404 32.724388,121.096062 31.044714,118.468094 30.636126,118.086266 32.318176)),
S1A_IW_SLC__1SDV_20180603T100304_20180603T100332_022191_02667F_CAEB.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('c523a445-f5fa-425b-91a2-e7e4dcd346c9')/$value,69,POLYGON ((118.086540 32.317886,120.764465 32.724113,121.096100 31.044804,118.468330 30.636202,118.086540 32.317886)),
S1A_IW_SLC__1SDV_20180522T100304_20180522T100332_022016_0260F8_0361.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('a822cc4d-8dbf-4cc3-a4c2-8a055c15565d')/$value,69,POLYGON ((118.085411 32.318806,120.763443 32.725044,121.095146 31.045370,118.467278 30.636755,118.085411 32.318806)),
S1A_IW_SLC__1SDV_20180510T100303_20180510T100331_021841_025B63_93BF.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('95ca946f-0b0d-420c-bc07-20524dc25f80')/$value,69,POLYGON ((118.085449 32.318424,120.763344 32.724648,121.095001 31.045212,118.467270 30.636614,118.085449 32.318424)),
S1A_IW_SLC__1SDV_20180428T100303_20180428T100331_021666_0255D5_38AE.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('6643b614-ab9c-406a-8c79-f3b09ebbc8a4')/$value,69,POLYGON ((118.086525 32.318249,120.764580 32.724430,121.096199 31.044874,118.468315 30.636314,118.086525 32.318249)),
S1A_IW_SLC__1SDV_20180416T100302_20180416T100330_021491_02505C_D7CE.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('39788239-bb53-4535-9220-cc1f659c509e')/$value,69,POLYGON ((118.086357 32.318596,120.764320 32.724785,121.095940 31.045349,118.468140 30.636787,118.086357 32.318596)),
S1A_IW_SLC__1SDV_20180404T100301_20180404T100329_021316_024AE6_747A.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('34bcae95-f5c3-46de-95c8-c4cdbac7db11')/$value,69,POLYGON ((118.086060 32.318649,120.764221 32.724895,121.095909 31.045229,118.467918 30.636606,118.086060 32.318649)),
S1A_IW_SLC__1SDV_20180323T100301_20180323T100329_021141_024560_530E.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('2695cddd-875a-4403-a906-23e581cfcb34')/$value,69,POLYGON ((118.085709 32.318249,120.763992 32.724560,121.095718 31.044901,118.467613 30.636217,118.085709 32.318249)),
S1A_IW_SLC__1SDV_20180311T100301_20180311T100329_020966_023FD1_1D6E.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('7f668b64-8c45-4fde-a53d-9c1e44bd86ea')/$value,69,POLYGON ((118.085533 32.318062,120.763779 32.724358,121.095421 31.045071,118.467346 30.636404,118.085533 32.318062)),
S1A_IW_SLC__1SDV_20180227T100301_20180227T100329_020791_023A53_BB9C.SAFE,ASCENDING,https://scihub.copernicus.eu/apihub/odata/v1/Products('962a539a-dd82-4aef-a878-e90b45aeaa25')/$value,69,POLYGON ((118.085152 32.318607,120.763458 32.724876,121.095177 31.045095,118.467064 30.636454,118.085152 32.318607)),
